timestamp_s,latitude,longitude,altitude_m,rel_alt_m,roll,pitch,yaw,speed_mps
0.000,42.668500,21.196500,680.00,55.00,0.0,-60.0,45.0,4.5
0.033,42.668501,21.196501,680.02,55.02,0.0,-60.0,45.0,4.5
0.067,42.668502,21.196502,680.03,55.03,0.0,-60.0,45.0,4.5
0.100,42.668503,21.196503,680.05,55.05,0.0,-60.0,45.0,4.5
0.133,42.668504,21.196505,680.07,55.07,0.0,-60.0,45.0,4.5
0.167,42.668505,21.196506,680.08,55.08,0.0,-60.0,45.0,4.5
0.200,42.668506,21.196507,680.10,55.10,0.0,-60.0,45.0,4.5
0.233,42.668507,21.196508,680.12,55.12,0.0,-60.0,45.0,4.5
0.267,42.668507,21.196509,680.13,55.13,0.0,-60.0,45.0,4.5
0.300,42.668508,21.196510,680.15,55.15,0.0,-60.0,45.0,4.5
0.333,42.668509,21.196512,680.17,55.17,0.0,-60.0,45.0,4.5
0.367,42.668510,21.196513,680.18,55.18,0.0,-60.0,45.0,4.5
0.400,42.668511,21.196514,680.20,55.20,0.0,-60.0,45.0,4.5
0.433,42.668512,21.196515,680.22,55.22,0.0,-60.0,45.0,4.5
0.467,42.668513,21.196516,680.23,55.23,0.0,-60.0,45.0,4.5
0.500,42.668514,21.196517,680.25,55.25,0.0,-60.0,45.0,4.5
0.533,42.668515,21.196519,680.27,55.27,0.0,-60.0,45.0,4.5
0.567,42.668516,21.196520,680.28,55.28,0.0,-60.0,45.0,4.5
0.600,42.668517,21.196521,680.30,55.30,0.0,-60.0,45.0,4.5
0.633,42.668518,21.196522,680.31,55.31,0.0,-60.0,45.0,4.5
0.667,42.668519,21.196523,680.33,55.33,0.0,-60.0,45.0,4.5
0.700,42.668520,21.196524,680.35,55.35,0.0,-60.0,45.0,4.5
0.733,42.668521,21.196526,680.36,55.36,0.0,-60.0,45.0,4.5
0.767,42.668521,21.196527,680.38,55.38,0.0,-60.0,45.0,4.5
0.800,42.668522,21.196528,680.40,55.40,0.0,-60.0,45.0,4.5
0.833,42.668523,21.196529,680.41,55.41,0.0,-60.0,45.0,4.5
0.867,42.668524,21.196530,680.43,55.43,0.0,-60.0,45.0,4.5
0.900,42.668525,21.196531,680.44,55.44,0.0,-60.0,45.0,4.5
0.933,42.668526,21.196533,680.46,55.46,0.0,-60.0,45.0,4.5
0.967,42.668527,21.196534,680.48,55.48,0.0,-60.0,45.0,4.5
1.000,42.668528,21.196535,680.49,55.49,0.0,-60.0,45.0,4.5
1.033,42.668529,21.196536,680.51,55.51,0.0,-60.0,45.0,4.5
1.067,42.668530,21.196537,680.52,55.52,0.0,-60.0,45.0,4.5
1.100,42.668531,21.196538,680.54,55.54,0.0,-60.0,45.0,4.5
1.133,42.668532,21.196540,680.55,55.55,0.0,-60.0,45.0,4.5
1.167,42.668533,21.196541,680.57,55.57,0.0,-60.0,45.0,4.5
1.200,42.668534,21.196542,680.58,55.58,0.0,-60.0,45.0,4.5
1.233,42.668535,21.196543,680.60,55.60,0.0,-60.0,45.0,4.5
1.267,42.668535,21.196544,680.61,55.61,0.0,-60.0,45.0,4.5
1.300,42.668536,21.196545,680.63,55.63,0.0,-60.0,45.0,4.5
1.333,42.668537,21.196547,680.64,55.64,0.0,-60.0,45.0,4.5
1.367,42.668538,21.196548,680.66,55.66,0.0,-60.0,45.0,4.5
1.400,42.668539,21.196549,680.67,55.67,0.0,-60.0,45.0,4.5
1.433,42.668540,21.196550,680.69,55.69,0.0,-60.0,45.0,4.5
1.467,42.668541,21.196551,680.70,55.70,0.0,-60.0,45.0,4.5
1.500,42.668542,21.196552,680.72,55.72,0.0,-60.0,45.0,4.5
1.533,42.668543,21.196554,680.73,55.73,0.0,-60.0,45.0,4.5
1.567,42.668544,21.196555,680.75,55.75,0.0,-60.0,45.0,4.5
1.600,42.668545,21.196556,680.76,55.76,0.0,-60.0,45.0,4.5
1.633,42.668546,21.196557,680.78,55.78,0.0,-60.0,45.0,4.5
1.667,42.668547,21.196558,680.79,55.79,0.0,-60.0,45.0,4.5
1.700,42.668548,21.196559,680.81,55.81,0.0,-60.0,45.0,4.5
1.733,42.668549,21.196561,680.82,55.82,0.0,-60.0,45.0,4.5
1.767,42.668549,21.196562,680.83,55.83,0.0,-60.0,45.0,4.5
1.800,42.668550,21.196563,680.85,55.85,0.0,-60.0,45.0,4.5
